dongle_id,route_id,clip_id,car_model,event_t,has_radar,n_lead_samples_pre,n_lead_samples_post,vEgo_at_to,thw_min_pre,thw_p5_pre,thw_median_pre,ttc_min_pre,ttc_p5_pre,ttc_median_pre,n_closing_pre,dRel_at_to,vRel_at_to,vLead_at_to,dRel_min_pre,dRel_mean_pre,vRel_min_pre,lead_rate_pre,dRel_min_post,vRel_min_post,speed_regime,lead_present_pre
51de0f458a6b973a,00000013--28286a5cf7,0,TOYOTA_RAV4_TSS2_2023,138.51961747705127,True,0,0,13.595216751098633,,,,,,,0,,,,,,,0.0,,,Low (<60 km/h),False
51de0f458a6b973a,00000010--798f6a6eb4,8,TOYOTA_RAV4_TSS2_2023,1049.505082270945,True,12,20,9.061075210571287,3.6061121937669913,3.6464900778963676,4.11883545276531,4.05515674918524,4.174563439242142,4.811524756581351,12,33.705257415771484,-8.311702728271484,0.7729755640029907,33.095802307128906,40.788201649983726,-9.760278701782228,1.0,6.223509311676025,-8.239686965942383,Low (<60 km/h),True
51de0f458a6b973a,00000016--47794c6b32,2,TOYOTA_RAV4_TSS2_2023,608.8394287539255,True,3,20,29.86709976196289,3.202881616997073,3.2058987323020927,3.2330527700472675,15.0,15.0,15.0,3,99.8550033569336,-4.572689056396484,25.3347282409668,96.2925033569336,97.95917002360027,-5.044612884521484,0.25,67.4800033569336,-4.935268402099609,High (>100 km/h),True
51de0f458a6b973a,00000016--47794c6b32,5,TOYOTA_RAV4_TSS2_2023,978.3995927319178,True,0,0,-7.382828925983631e-07,,,,,,,0,,,,,,,0.0,,,,False
51de0f458a6b973a,00000016--47794c6b32,3,TOYOTA_RAV4_TSS2_2023,717.8993395037529,True,10,10,9.707974433898926,1.5103050578719026,1.5181908842323417,1.7832680108324048,6.974055938512368,7.271937682709254,9.50362543399372,5,51.16749954223633,-5.383997917175293,4.567202568054199,27.011249542236328,36.295624542236325,-7.542956352233887,0.8333333333333334,38.04249954223633,-8.499857902526855,Low (<60 km/h),True
51de0f458a6b973a,00000013--28286a5cf7,1,TOYOTA_RAV4_TSS2_2023,194.46976823692304,True,55,2,7.844429492950439,2.0731450371323934,2.1023710046027615,2.2699927685725156,6.25696950762359,8.840763343060258,13.93577083608619,55,22.575702667236328,-3.608088970184326,4.340387344360352,16.903827667236328,19.7140549399636,-3.608088970184326,0.9166666666666666,18.903827667236328,-1.949389934539795,Low (<60 km/h),True
51de0f458a6b973a,00000013--28286a5cf7,2,TOYOTA_RAV4_TSS2_2023,441.5097803110138,True,59,35,23.62293243408203,2.1286677375924827,2.2043849933324156,2.5032489340902853,15.0,15.0,15.0,3,75.7539291381836,3.128116607666016,26.66596794128418,49.12892532348633,58.52924224077645,-1.573686599731445,0.9833333333333333,45.37257766723633,-0.0282249450683593,Medium,True
51de0f458a6b973a,00000013--28286a5cf7,4,TOYOTA_RAV4_TSS2_2023,803.7532532585193,True,0,0,28.82475471496582,,,,,,,0,,,,,,,0.0,,,High (>100 km/h),False
51de0f458a6b973a,00000016--47794c6b32,1,TOYOTA_RAV4_TSS2_2023,303.84149671014853,True,12,20,10.362238883972168,1.5374589851070461,1.5552842267990745,1.7307073403382898,15.0,15.0,15.0,5,32.69874954223633,0.0084466934204101,10.39696216583252,16.808124542236328,19.815937042236328,-0.697291374206543,1.0,16.745624542236328,-7.934184074401855,Low (<60 km/h),True
51de0f458a6b973a,00000013--28286a5cf7,3,TOYOTA_RAV4_TSS2_2023,694.441676610894,True,25,99,24.30097007751465,4.641357035438698,4.6569232943093555,4.7689222682774535,,,,0,116.4414291381836,0.6801128387451172,24.980262756347656,112.6914291381836,116.1139291381836,0.5039958953857422,0.4166666666666667,84.3164291381836,-12.219913482666016,Medium,True
