clip_key,yolo_n_keyframes,yolo_n_detections,yolo_traffic_light_present,yolo_bus_present,yolo_car_present,yolo_person_present,yolo_stop_sign_present,yolo_bicycle_present,yolo_truck_present,yolo_car_max_conf,yolo_person_max_conf,yolo_truck_max_conf,yolo_traffic_light_max_conf,yolo_stop_sign_max_conf,yolo_bus_max_conf,yolo_bicycle_max_conf
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/7,5,5,False,False,True,False,False,False,False,0.7554,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/9,5,31,True,True,True,True,False,False,True,0.8587,0.5264,0.9349,0.5579,,0.3831,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--5d39f13b70/8,5,1,False,False,True,False,False,False,False,0.4305,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--c39299dd63/6,5,5,True,False,True,False,False,False,False,0.625,,,0.458,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--c39299dd63/10,5,2,False,False,True,False,False,False,False,0.4736,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--c39299dd63/3,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--c39299dd63/13,5,1,True,False,False,False,False,False,False,,,,0.412,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--c39299dd63/7,5,1,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--e40f3c15ca/1,5,9,False,False,True,True,False,False,False,0.8102,0.4271,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000004--c39299dd63/5,5,0,False,False,False,False,False,False,False,,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--18a78964bf/1,5,27,True,False,True,True,False,False,True,0.627,0.4827,0.704,0.6342,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--18a78964bf/8,5,6,False,False,True,False,False,False,False,0.7874,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--1f77ad20f1/12,5,1,False,False,True,False,False,False,False,0.3576,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--1f77ad20f1/11,5,2,True,False,True,False,False,False,False,0.3917,,,0.4046,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--1f77ad20f1/5,5,7,True,False,True,False,False,False,False,0.8722,,,0.4828,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--1f77ad20f1/6,5,10,True,False,True,False,False,False,False,0.8166,,,0.5081,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--1f77ad20f1/4,5,11,False,False,True,False,False,False,True,0.8789,,0.5861,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--21492f83d2/1,5,19,False,False,True,False,False,False,False,0.9121,,,,,,
ACURA_MDX_3G_MMR/ad9840558640c31d/00000005--21492f83d2/0,5,25,False,False,True,False,False,False,True,0.8312,,0.6032,,,,
